URL;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;2.1;2.2;2.3;2.4;2.5;2.6;Fallos Nivel A;Fallos Nivel AA;Puntuación Media;Tipo
https://enjucavi.com;1 P;0 F;1 P;- P;0 F;0 F;0 F;1 P;1 P;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;0 F;0 F;0 F;6;4;4.7;PRI
https://www.disolbcn.cat/es;1 P;0 F;1 P;- P;0 F;0 F;0 F;1 P;0 F;1 P;0 F;1 P;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;7;1;5.8;PRI
https://turullsorensen.com;0 F;0 F;1 P;- P;1 P;1 P;0 F;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;0 F;1 P;1 P;0 F;1 P;5;3;5.8;PRI
https://www.laperladejavea.com;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;- P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;0 F;1 P;1 P;6;2;5.8;PRI
https://toormix.com;0 F;0 F;1 P;- P;0 F;1 P;0 F;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;6;2;5.8;PRI
https://randallcoffee.com;1 P;0 F;0 F;- P;0 F;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;0 F;1 P;1 P;0 F;1 P;8;3;4.2;PRI
https://baydal.es;1 P;0 F;1 P;- P;0 F;1 P;0 F;1 P;1 P;- P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;0 F;1 P;4;3;6.1;PRI
https://agenciaeventosmadrid.com;0 F;0 F;1 P;- P;0 F;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;0 F;0 F;0 F;0 F;1 P;8;5;3.2;PRI
https://martimoreno.com;1 P;1 P;1 P;- P;0 F;1 P;0 F;1 P;1 P;- P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;2;2;7.8;PRI
https://cafeenvena.com;1 P;0 F;0 F;- P;0 F;0 F;0 F;0 F;1 P;1 P;1 P;0 F;1 P;0 F;0 F;0 F;1 P;1 P;0 F;1 P;8;3;4.2;PRI
https://ntcbeltec.com;1 P;0 F;1 P;- P;0 F;0 F;0 F;0 F;1 P;- P;0 F;0 F;1 P;0 F;0 F;1 P;1 P;0 F;1 P;1 P;8;2;4.4;PRI
https://estrategiaurbanavlc2030.es;0 F;0 F;1 P;- P;1 P;0 F;0 F;1 P;1 P;- P;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;0 F;1 P;5;4;5;PRI
https://casimirocanonico.com;0 F;0 F;0 F;- P;0 F;0 F;0 F;1 P;1 P;1 P;1 P;1 P;1 P;0 F;0 F;1 P;0 F;0 F;0 F;1 P;7;4;4.2;PRI
https://www.intertoro.com;1 P;0 F;1 P;- P;0 F;1 P;0 F;1 P;1 P;- P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;0 F;1 P;1 P;5;2;6.1;PRI
https://olivarerahinojosa.com;1 P;1 P;1 P;- P;0 F;1 P;0 F;1 P;1 P;- P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;0 F;1 P;2;3;7.2;PRI
https://dairemar.es;0 F;0 F;1 P;- P;0 F;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;0 F;1 P;0 F;0 F;0 F;8;5;3.2;PRI
